date,username,rawContent
2022-11-06 19:38:33+00:00,KINGCar87764797,@datumx11 Hangin lang ang lumalabas na mga suhestyon ni Sandro about sa ekonomiya ng bansa. Isipin mo Kamote to Dragon fruit. Tapos peso is weak because the dollar is strong parang hindi graduate ng economics kung mag-isip.
2022-11-06 06:20:46+00:00,ethanreddavid,"Tangina yan palitan ko na yang Sandro after sa peso is weak because the dollar is strong, ayan nanaman sya sa dragon fruit 🤣😂"
2022-11-06 03:24:15+00:00,dalawatayo,@yanneal627 Nako po peso is not weak dollar is just strong
2022-11-05 23:07:14+00:00,Emong7411,"@jessewalesjames @Micah0070 @itscrystal_gail @SidRanter @raissawriter Para lang yan analogy ng the peso is not weak, the peso is weak because the dollar is strong, di nyo ba gets?!LOGIC!!"
2022-11-05 15:06:37+00:00,xd_lem,"its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.2"
2022-11-05 11:21:49+00:00,0manignat,"""di related ang kpop at politics""

pota sizt ang mahal na sa ktown4u ngayon bec the peso is weak not bec the dollar is strong bla bla"
2022-11-05 07:17:10+00:00,BumbumBidum,@KarlBruce88 Kasi nga the peso is weak not because the peso is weak. The peso is weak because the dollar is strong. ☠️
2022-11-05 00:58:22+00:00,FritzieBayrante,"@beautifulweird0 Our peso is weak, their dollar is strong."
2022-11-04 18:16:54+00:00,bluishrad,"The peso is weak because the dollar is strong

F"
2022-11-04 14:34:22+00:00,Janiliackezi,@UrMomsW Because the Philippine peso is not weak because the Philippine peso is weak the Philippine peso is weak because the dollar is strong
2022-11-04 12:23:48+00:00,forestjarvis,Very funny seeing Americans complain about inflation and the dollar being weak while in the Philippines they complain about the dollar being too strong and making the Peso weaker
2022-11-04 02:44:30+00:00,SantiagoErning,"@gmanews @Ted_Cordero The peso is weak because the dollar is strong, said Cong. Sandro. LOL"
2022-11-03 15:52:17+00:00,RyanESCOTE,"Instead of using the more precise word ""weak(er) peso"" they have carefully choose the word ""strong(er) dollar"" to somehow misdirect the public."
2022-11-03 13:13:48+00:00,purpleskie_,dollar strong and peso is weak 😭 ate chantelle anuba hahhahahahahahahha
2022-11-03 11:41:59+00:00,intojanna_,@notgeraldinee @prinsesachinita The peso is not weak bcs the peso is weak. The peso is weak bcs the dollar is strong
2022-11-03 08:57:15+00:00,jujutaebear,Peso is weak not bec it's weak. Peso is weak bec dollar is strong 💪💪🥴🥴
2022-11-03 08:00:34+00:00,czarina_erica,hindi nga daw weak ung peso! strong nga lang daw ung dollar! kulet nyo powz 😆
2022-11-03 07:53:10+00:00,l252k,@cnnphilippines @lisbetesmael Hahahaha « the peso is weak because the dollar is strong » ???
2022-11-03 07:35:08+00:00,lula999999999,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱
2022-11-03 07:08:57+00:00,meteor134,"Baguhin dapat nila wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Kasi diba the peso is weak because the dollar is strong? Hahahahaha"
2022-11-02 16:37:02+00:00,prodtaeks,the peso is weak becuse the dollar is strong type of argument but i agree 😭😭😭
2022-11-02 09:21:19+00:00,CinabihanNgCute,Peso not weak. Dollar strong. https://t.co/kvNd8nQVgj
2022-11-01 13:44:55+00:00,vigilantelore,me when the peso is not weak because peso is weak peso is weak because dollar is strong
2022-11-01 09:12:46+00:00,rnjnchin,"@rrreenjunie He’s wrong in the sense that he thinks things should only be one sided. The dollar’s strength against the peso is not just because it is strong, but the disparity is even clearer now because the peso is inherently/fundamentally weak."
2022-11-01 07:30:10+00:00,rrreenjunie,@rnjnchin Agree!💯 If u compare peso to others currency the peso is not weak. But if u will compare it to dollar the peso is weak. Cos the dollar is strong. It makes sense. But idk why a lot of ppl are making fun abt what he says.
2022-11-01 05:47:11+00:00,vmarkeyable,"we are not that high, the peso is weak because the dollar is strong, ayan inunahan na kita bhie @bongbongmarcos"
2022-10-31 18:32:26+00:00,fairykajade,Oh ganito talaga mag-logic mga peso is not weak dollar is strong. 😌
2022-10-31 17:34:41+00:00,zsmcobward,@k_aletha At sino nga din ba ng nagsabing the peso is weak because the dollar is strong?
2022-10-31 13:49:32+00:00,Daniel4Eu,Grabe nanaman kayo ang sasama niyo alam niyo namang The peso in not weak because the dollar is strong The dollar is strong because the peso is weak
2022-10-31 12:14:22+00:00,maitachondrion,@LourisseMiller The peso is weak coz the dollar is strong energy
2022-10-31 10:03:08+00:00,cheekyhyo,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong
2022-10-31 09:29:55+00:00,McGreyvy,"it's giving ""the peso is not weak, the dollar is strong"" 🤣"
2022-10-30 16:16:33+00:00,ME0W0NW00,"@squishiescoups @wjhvisuals it gives ""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong,” vibes 😭"
2022-10-30 13:41:12+00:00,honey_drippers,"@rgapas_ sinabi mo pa!mukha namang ewan,na quote yan sa ibang bansa sa sinabi na peso is weak bec dollar is strong,parang pinagtatawanan si kumag!😂"
2022-10-30 09:40:26+00:00,PHTanodBayan,"More like wala na kasing natural gas sa Malampaya at kailangan na nating umangkat. Yun lang the peso is weak because the dollar is strong.

Energy crisis is imminent."
2022-10-30 04:34:59+00:00,nrikism,"#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ"
2022-10-30 03:32:58+00:00,khenzeel13,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭
2022-10-30 03:07:21+00:00,PHTanodBayan,@JRoetahm The peso daw kasi is weak because the dollar is strong. Perception is real but truth is not.🤦‍♂️
2022-10-29 16:00:52+00:00,h_inigo,@elonmusk As in the Philippine Peso is weak because the US Dollar is strong?  -from a comedian of the Philippine lower house
